category,file,status,error,mean_similarity,min_similarity,max_similarity,std_similarity,ref_to_hyp_mean,hyp_to_ref_mean,num_chunks_ref,num_chunks_hyp
1.original,149_2025_QH15_679698.txt,ok,,0.795448,0.722869,0.880251,0.047524,0.847123,0.845583,3,3
1.original,14_2022_QH15_519327.txt,ok,,0.843941,0.624357,0.910875,0.029794,0.888139,0.880047,79,79
1.original,14_2026_NQ-HDND_707808.txt,ok,,0.847089,0.675944,0.927092,0.043971,0.899666,0.896537,18,18
1.original,14_2026_NQ-HDND_709408.txt,ok,,0.792614,0.607092,0.911110,0.083335,0.881230,0.879708,9,9
1.original,14_2026_NQ-HDND_710206.txt,ok,,0.807804,0.571141,0.915067,0.057465,0.877074,0.877082,38,38
1.original,14_NQ-HDND_707830.txt,ok,,0.779399,0.609849,0.943805,0.076695,0.875809,0.875457,7,7
1.original,150_2025_QH15_685773.txt,ok,,0.838912,0.759383,0.917475,0.022446,0.883342,0.873524,41,41
1.original,15_2023_QH15_372143.txt,ok,,0.828111,0.610852,0.909164,0.030631,0.873678,0.868757,165,164
1.original,15_2026_NQ-HDND_707809.txt,ok,,0.834176,0.723085,0.918413,0.041143,0.882085,0.883608,11,11
1.original,15_2026_NQ-HDND_707811.txt,ok,,0.836795,0.776528,0.945946,0.039745,0.892263,0.884160,5,5
1.original,15_2026_NQ-HDND_709741.txt,ok,,0.818821,0.589290,0.946428,0.051132,0.883907,0.885826,127,124
1.original,15_NQ-HDND_707829.txt,ok,,0.839669,0.636920,0.947036,0.060030,0.911312,0.909030,13,13
1.original,16_2023_QH15_519324.txt,ok,,0.835855,0.659654,0.911781,0.026400,0.878477,0.874205,136,136
1.original,16_2026_NQ-HDND_707769.txt,ok,,0.836958,0.667520,0.938766,0.051020,0.895917,0.892799,10,10
1.original,16_2026_NQ-HDND_707810.txt,ok,,0.843571,0.728533,0.916815,0.049426,0.904506,0.900109,7,7
1.original,17_2023_QH15_499239.txt,ok,,0.835839,0.653672,0.909345,0.028158,0.882486,0.879204,185,185
1.original,17_2026_NQ-HDND_709410.txt,ok,,0.830729,0.728576,0.939967,0.048211,0.903636,0.895717,10,10
1.original,18_2023_QH15_519325.txt,ok,,0.822386,0.300668,0.912644,0.062905,0.872323,0.868766,71,71
1.original,18_2026_NQ-HDND_709411.txt,ok,,0.827665,0.683191,0.941030,0.058198,0.909748,0.909857,8,8
1.original,18_NQ-HDND_707827.txt,ok,,0.821990,0.667785,0.907825,0.081044,0.898560,0.896321,3,3
1.original,19_2023_QH15_m_500102.txt,ok,,0.840546,0.640447,0.916787,0.029049,0.881938,0.882950,114,114
1.original,19_2026_NQ-HDND_709412.txt,ok,,0.794936,0.554779,0.936198,0.074732,0.890244,0.888622,30,30
1.original,20_2023_QH15_m_513347.txt,ok,,0.834532,0.720663,0.908541,0.024587,0.874454,0.872606,63,63
1.original,20_2026_NQ-HDND_709415.txt,ok,,0.822722,0.652587,0.915527,0.056921,0.892715,0.894142,8,8
1.original,20_2026_NQ-HDND_709736.txt,ok,,0.767840,0.273887,0.908449,0.133092,0.825510,0.876361,47,46
1.original,20_NQ-HDND_707825.txt,ok,,0.827499,0.706594,0.901098,0.050419,0.886610,0.880898,6,6
1.original,21_2026_NQ-HDND_709413.txt,ok,,0.845322,0.713478,0.941511,0.038331,0.896594,0.891492,16,16
