filename,attack_group,layoutlmv3_cosine_similarity
23_NQ-HDND_707612.npy,2.insert,0.985974
23_NQ-HDND_707821.npy,2.insert,0.931316
23_NQ-HDND_709740 (1).npy,2.insert,0.997646
23_NQ-HDND_709740.npy,2.insert,0.997646
24_2023_QH15_535782.npy,2.insert,0.999950
24_2026_NQ-HDND_709417.npy,2.insert,0.993622
24_2026_NQ-HDND_709733.npy,2.insert,0.999313
24_NQ-HDND_707611.npy,2.insert,0.989776
24_NQ-HDND_707820.npy,2.insert,0.956353
25_2023_QH15_548477.npy,2.insert,0.999788
25_2026_NQ-HDND_709430.npy,2.insert,0.991710
25_2026_NQ-HDND_709752.npy,2.insert,0.997925
26_2023_QH15_m_552422.npy,2.insert,0.999203
26_2026_NQ-HDND_709418.npy,2.insert,0.999117
26_2026_NQ-HDND_709750.npy,2.insert,0.999805
26_NQ-HDND_709743.npy,2.insert,0.999454
278_NQ-UBTVQH16_709850.npy,2.insert,0.999255
279_NQ-UBTVQH16_709851.npy,2.insert,0.999255
27_2023_QH15_528669.npy,2.insert,0.999991
27_2026_NQ-HDND_709419.npy,2.insert,0.998281
27_2026_NQ-HDND_709748.npy,2.insert,0.999274
28_2023_QH15_583801.npy,2.insert,0.999901
28_2026_NQ-CP_710007.npy,2.insert,0.989180
28_2026_NQ-HDND_709420.npy,2.insert,0.996752
28_2026_NQ-HDND_710200.npy,2.insert,0.997321
29_2023_QH15_530116.npy,2.insert,0.999879
29_2026_NQ-HDND_709421.npy,2.insert,0.999407
30_2023_QH15_445699.npy,2.insert,0.998381
30_2026_NQ-HDND_709429.npy,2.insert,0.995864
31_2024_QH15_523642.npy,2.insert,0.999898
31_2026_NQ-HDND_709428.npy,2.insert,0.995322
32_2024_QH15_m_577203.npy,2.insert,0.999901
32_2026_NQ-HDND_709422.npy,2.insert,0.982734
33_2024_QH15_545181.npy,2.insert,0.999460
33_2026_NQ-HDND_709423.npy,2.insert,0.996129
34_2024_QH15_580434.npy,2.insert,0.999839
34_NQ-HDND_709431.npy,2.insert,0.992693
3579_QD-UBND_708038.npy,2.insert,0.998896
35_2024_QH15_588811.npy,2.insert,0.999874
35_NQ-HDND_707110.npy,2.insert,0.999908
36_2024_QH15_444251.npy,2.insert,0.999984
36_NQ-HDND_707610.npy,2.insert,0.999144
37_2024_QH15_588810.npy,2.insert,0.999290
38_2024_QH15_555033.npy,2.insert,0.999928
38_2026_QD-UBND_708135.npy,2.insert,0.992802
39_2024_QH15_575158.npy,2.insert,0.999778
40_2024_QH15_564046.npy,2.insert,0.994871
40_NQ-HDND_707111.npy,2.insert,0.999602
41_2019_QH14_387991.npy,2.insert,0.999812
41_2024_QH15_557190.npy,2.insert,0.999900
42_NQ-HDND_707609.npy,2.insert,0.989587
43_2019_QH14_367665.npy,2.insert,0.999918
43_2024_QH15_612195.npy,2.insert,0.979253
44_2024_QH15_583839.npy,2.insert,0.998945
44_NQ-HDND_707608.npy,2.insert,0.994139
45_2019_QH14_333670.npy,2.insert,0.999789
45_2024_QH15_583769.npy,2.insert,0.999881
45_NQ-HDND_707607.npy,2.insert,0.986232
46_2019_QH14_398157.npy,2.insert,0.998897
46_2024_QH15_524982.npy,2.insert,0.999792
46_2026_QD-UBND_708335.npy,2.insert,0.995806
46_NQ-HDND_707606.npy,2.insert,0.999228
47_2019_QH14_411945.npy,2.insert,0.999016
47_2024_QH15_583645.npy,2.insert,0.999696
47_NQ-HDND_707603.npy,2.insert,0.999392
48_2019_QH14_366794.npy,2.insert,0.999413
48_2024_QH15_556390.npy,2.insert,0.997863
49_2019_QH14_402073.npy,2.insert,0.999272
49_2024_QH15_548487.npy,2.insert,0.999637
50_2019_QH14_411944.npy,2.insert,0.997828
50_2024_QH15_445264.npy,2.insert,0.998588
51_2019_QH14_422706.npy,2.insert,0.995300
51_2024_QH15_m_505750.npy,2.insert,0.999574
52_2019_QH14_405729.npy,2.insert,0.996967
52_2024_QH15_630032.npy,2.insert,0.995608
53_2019_QH14_351558.npy,2.insert,0.998720
53_2024_QH15_m_607439.npy,2.insert,0.999679
54_2019_QH14_399763.npy,2.insert,0.999792
54_2024_QH15_578531.npy,2.insert,0.999855
54_KH-UBND_708180.npy,2.insert,0.999011
55_2019_QH14_410870.npy,2.insert,0.997714
55_2024_QH15_621347.npy,2.insert,0.999276
56_2020_QH14_422707.npy,2.insert,0.998236
56_2024_QH15_m_622318.npy,2.insert,0.999826
57_2020_QH14_416260.npy,2.insert,0.998143
57_2024_QH15_623631.npy,2.insert,0.999601
58_2020_QH14_395767.npy,2.insert,0.999630
58_2024_QH15_m_621645.npy,2.insert,0.999724
58_2026_NQ-HDND_709771.npy,2.insert,0.991225
59_2020_QH14_427301.npy,2.insert,0.999878
59_2024_QH15_606865.npy,2.insert,0.999868
60_2020_QH14_373522.npy,2.insert,0.995733
60_2024_QH15_m_621343.npy,2.insert,0.997842
60_2026_NQ-HDND_709424.npy,2.insert,0.995331
61_2020_QH14_321051.npy,2.insert,0.999914
61_2024_QH15_613892.npy,2.insert,0.999777
62_2020_QH14_418229.npy,2.insert,0.999504
62_2025_QH15_643744.npy,2.insert,0.997613
